人物,立绘,文本,CG,SE
,,依然温馨的小屋，白正坐在床上，示意爱丽过来,,
,,如同过去数不清的寒冷寂寥的夜晚，白都会陪伴爱丽，让爱丽像抱着洋娃娃一样抱着自己，轻轻搂着爱丽，温暖她那有些冰凉的身躯,,
,,而这一次，白主动邀请了爱丽,,
,,轻盈的手指正褪着爱丽的上衣,,
,,扣子一颗颗被解开，直到最后一件内衣也随之落下,,
爱丽,,以前一起睡觉不用脱内衣的啊,WhiteSex,
爱丽,,白……这样有点奇怪,WhiteSex,
白,,爱丽一直都很乖，一直都是……,WhiteSex,
白,,爱丽也长大了,WhiteSex,
白,,白想教你一些，大女孩应该知道的事,WhiteSex,
白,,只有这一件事，我希望你能听我的话,WhiteSex,
白,,关于她的一切，都是你不该记起的回忆,WhiteSex,
白,,答应我，不要再去找那个女孩了，好吗？,WhiteSex,
,,纤细的手指抚摸着爱丽敏感的小腹，划过耻骨，伸入了爱丽的蜜穴,WhiteSex,
,,白温柔的抚摸总是能让爱丽感到安心，只是这次，爱丽的脸却不自觉地泛着微红,WhiteSex,
,,缓缓搅动着的手指逐渐变得湿润，爱丽那尚还娇嫩的小豆被白的手心牵出零散的细丝,WhiteSex,
,,但爱丽并不理解白在做着什么,WhiteSex,
,,只能任由模糊的快感随着躯体的阵阵颤动袭向脑海,WhiteSex,
